식품코드,식품코드명,농진청식품코드
15099,"홍차, 레몬",O032001000Na
15100,"커피, 원두",O027000157Na
15110,야콘차,O020000000Na
15111,대추차,O010000000Na
15119,둥굴레차,O013000000Na
15121,쌀 음료,P0070000009a
15122,"커피, 커피가루, 설탕, 크림, 인스턴트",O0270021555a
15124,칡즙,B0190000009a
15125,알로에 음료,F2160000009a
15126,망고 음료,H108000E019a
15132,보이차,O0340000009a
15133,"유자차, 고형물 포함",O023000235Pa
15134,카모마일차,O036000000Na
15135,"커피, 에스프레소",O027001157Pa
15136,헛개 음료,O0330000009a
15137,"홍차, 복숭아, 캔",O032002000Qa
15141,"혼합 음료, 비타민C 함유",P0120002469a
15144,"탄산 음료, 요구르트소다",P0090140009a
15145,"고량주, 알코올 50%",Q0170001649a
15146,"복분자주, 알코올 15%",Q0180002479a
15147,"소주, 알코올 17.8%",Q0100002389a
15149,"포도주, 적포도주, 알코올 13%",Q0160031729a
15150,"상황버섯, 추출",G012000000Na
15152,"녹차라떼, 가루",O0070040005a
15153,"커피, 커피가루, 설탕, 인스턴트",O0270022625a
15155,생강청,O017000000Ha
15156,"코코아, 가루",O0290000005a
15157,홍삼 음료,O0310010009a
15158,"홍차, 복숭아, 가루",O0320020005a
16002,"간장, 재래",R0010030009a
16003,"간장, 개량, 양조",R0010010009a
16004,"겨자, 가루",R0520000005a
16005,겨자 페이스트,R0500000009a
16006,"계피, 가루",R0030000005a
16007,"고추냉이, 가루",R0510000005a
16008,"고추냉이, 페이스트",R0510010009a
16009,고춧가루,R0070000005a
16010,"고추장, 개량",R0050010009a
16012,초고추장,R0060000009a
16013,굴 소스,R0080000009a
16014,"깨소금, 가루, 볶은것",R0090000005n
16015,낫토,R0100000009a
16016,포크커틀릿 소스,R0110000009a
16018,"된장, 개량",R0120020009a
16020,미소,R0120030009a
16021,"된장, 재래",R0120040009a
16022,라면 스프,R0130000009a
16023,"마늘, 가루",R0530000005a
16024,마늘 페이스트,R0140010009a
16025,마요네즈,R0150020009a
16027,맛술,R0160000009a
16029,"조미료, 멸치맛, 가루",R0310001895a
16030,"조미료, 쇠고기맛, 가루",R0310001905a
16031,"산초, 가루",R0170000005a
16032,"샐러드 드레싱, 사우전드아일랜드",R0180020009a
16033,"샐러드 드레싱, 이탈리안",R0180040009a
16034,"샐러드 드레싱, 프렌치",R0180050009a
16035,"생강, 가루",R0550000005a
16037,"소금, 굵은소금",R0200001859a
16038,소금,R0200000009a
16039,"소금, 가공염, 죽염",R0200011869a
16041,"식초, 감식초",R0220010009a
16043,"식초, 사과식초",R0220030009a
16044,"식초, 포도식초",R0220070009a
16047,"식초, 양조",R0220060009a
16048,"식초, 현미식초",R0220080009a
16049,쌈장,R0230000009a
16050,"양파, 가루",R0560000005a
16052,"올스파이스, 가루",R0250000005a
16053,우스터 소스,R0260000009a
16054,"육두구, 가루",R0270000009a
16056,"정향, 가루",R0290000005a
16059,청국장,R0320000009a
16060,"청국장, 가루",R0320000005a
16061,"칠리, 가루",R0330000005a
16062,"카레 소스, 가루",R0340000005a
16064,"타임, 가루",R0360000005a
16066,토마토 소스,R0380000009a
16067,토마토 케첩,R0380010009a
16068,"파슬리, 말린것",R0570000001a
16070,핫 소스,R0400000009a
16071,"후추, 검은색, 가루",R0410010005a
16072,"후추, 흰색, 가루",R0410020005a
16082,"소금, 천일염",R0200030009a
16083,"소금, 천일염, 소금꽃",R0200031879a
16088,소불고기 양념,R0040010009a
16089,데리야끼 소스,R0640000009a
16090,"된장, 개량, 찌개용",R0120052419a
16092,바비큐 소스,R0630000009a
16093,"식초, 발사믹",R0220090009a
16096,"조미료, 액상",R0310010009a
16097,"짜장 소스, 가루",R0280000005a
16098,"짜장 소스, 레토르트",R028000000Wa
16099,"청국장, 찌개용",R0320002419a
16100,"짜장 소스, 춘장",R0580000009a
16101,칠리 소스,R0620000009a
16102,"라면, 국물, 조리후",S0830001929d
16103,"메밀 냉면 육수, 인스턴트",S0860001589a
16104,"라면, 용기라면, 국물, 조리후",S0850002239d
16105,"마요네즈, 저칼로리",R0150030009a
17002,"게맛살, 어육함량이 낮은것",K6030000009a
17004,"고기 소스, 통조림",R004000000Ra
17006,"미역국, 인스턴트, 조리전",S0280001581a
17008,"사골국, 인스턴트",S0340001589a
17012,마파두부,S0240000009a
17013,"만두, 고기 만두",S0260010009a
17014,"만두, 김치 만두",S0260030009a
17016,"미트볼, 냉동",S0290000007a
17017,"볶음밥, 새우 볶음밥",S0300020009a
17019,"새우 튀김용, 냉동",K6160000007a
17023,"스파게티, 미트소스 스파게티, 냉동",S0450010007a
17024,"스파게티 소스, 토마토, 병조림",R021000000Va
17026,"스프, 소고기 스프, 가루",S0460010005a
17029,"스프, 소고기, 채소 스프, 가루, 끓인것",S0460020005d
17030,"스프, 양송이 스프, 가루",S0460040005a
17031,"스프, 양송이 스프, 가루, 끓인것",S0460040005d
17036,"스프, 크림 스프, 가루",S0460070005a
17038,"스프, 크림 스프, 가루, 끓인것",S0460070005d
17063,"카레 소스, 레토르트",R034000000Wa
17064,"크로켓, 감자 크로켓, 냉동",S0710010007a
17068,"팥죽, 레토르트",S075000000Wa
17078,"핫도그, 냉동",S0780000007a
17079,"햄버거 스테이크, 냉동",
17091,갈비탕,S0010000009a
17095,곰탕,S0050000009a
17096,"튀김, 김말이튀김",S0730010009a
17102,김치찌개,S0070000009a
17106,내장탕,S0120000009a
17107,닭꼬치,I0120000009a
17113,도가니탕,S0160000009a
17114,"돈저냐(동그랑땡), 냉동",S0170000007a
17116,돼지고기 볶음,S0190000009a
17117,된장찌개,S0200000009a
17119,떡볶이,S0220000009a
17125,"만두, 군만두",S0260020009j
17127,"만두, 물만두",S0260040009a
17130,무말랭이 무침,F0720000009a
17137,"삼각김밥, 고추장 불고기",S0350010009a
17138,"삼각김밥, 숯불갈비",S0350020009a
17139,"삼각김밥, 참치 마요네즈",S0350030009a
17140,삼계탕,S0360000009a
17143,소고기육개장,S0400000009a
17144,소머리국,S0410000009a
17146,순대국,S0420000009a
17150,"장어, 양념, 구운것",K1530001279f
17151,어묵국,K8020000009a
17152,연근 조림,F1420000009a
17153,연잎밥,S0490000009a
17155,오징어채 볶음,K6280000009n
17156,오징어 튀김,K6240000009j
17159,"초밥, 유부 초밥",S0650030009a
17160,육회,S0530000009a
17161,"멸치 볶음, 잔멸치볶음",K0670020009a
17164,게살죽,S0020000009d
17166,소고기버섯죽,S0390000009d
17167,전복죽,S0560000009d
17169,호박죽,S0840000009d
17174,"튀김, 채소튀김",S0730020009a
17178,추어탕,S0660000009a
17181,콩나물해장국,S0700000009a
17186,"순대, 선지 비율 낮은것",I0220010009e
17189,"게맛살, 어육함량이 높은것",K6030010009a
18011,"누에, 번데기, 말린것",T0110000001a
18012,"누에, 번데기, 통조림",T011000000Ra
18013,"뽕잎, 가루",R0670000005a
18024,"송화, 가루",T0160000005a
18031,"인삼, 수삼, 생것",T0210020000a
18032,"인삼, 백삼, 말린것",T0210010001a
18033,"인삼, 홍삼, 말린것",T0210030001a
18034,"인삼, 홍삼, 추출",T021003000Na
18037,"팽창제, 베이킹파우더",T0250010009a
18039,프로폴리스,T0260000009a
18043,"팽창제, 효모, 말린것",T0250030001a
18044,"로즈마리, 말린것",R0460000001a
18049,"오레가노, 말린것",R0610000001a
18054,"단백질 보충제, 가루",T0300000005a
20002,"시리얼,아몬드푸레이크(농심켈로그)",
20007,"시리얼,콘푸레이크(농심켈로그)",
20008,"시리얼,콘푸로스트(농심켈로그)",
20010,"시리얼,하니첵스(농심켈로그)",
20011,"시리얼,현미푸레이크(농심켈로그)",
20012,"시리얼,후르트링(농심켈로그)",
20015,"시리얼,포스트아몬드후레이크(동서식품㈜)",
20016,"시리얼,포스트코코볼(동서식품㈜)",
20019,"시리얼,포스트현미후레이크(동서식품㈜)",
21018,"두부,순두부(풀무원)",
21022,"두부,연두부(풀무원)",
22056,"다랑어/참치(통조림),고추참치(동원F&B)",
22069,"다랑어/참치(통조림),라이트스탠다드참치(동원F&B)",
22070,"다랑어/참치(통조림),마일드참치(동원F&B)",
22108,"다랑어/참치(통조림),야채참치(동원F&B)",
22154,"어육소시지,소시지,천하장사(진주햄)",
22278,"다랑어/참치(통조림),동원살코기참치(삼진물산)",
23002,"사과,넥타,과수원사과(남양유업)",
23017,"요구르트(액상),요구르트(남양유업)",
23024,"우유,남양우유(남양유업)",
23032,"요구르트(액상),불가리스(사과)(남양유업)",
23034,"우유,아인슈타인(남양유업)",
23036,"요구르트(액상),E-5(남양유업)",
23037,"아이스밀크,더블비안코(롯데제과)",
23040,"아이스크림,월드콘(롯데제과)",
23042,"아이스크림,조안나(롯데제과)",
23050,"요구르트(액상),요구르트(매일유업)",
23059,"우유,매일우유(매일유업)",
23060,"요구르트(액상),비피더스요구르트(딸기)(매일유업)",
23061,"요구르트(액상),비피더스요구르트(사과)(매일유업)",
23080,"우유,연세우유(연세유업)",
23081,"우유,자녀사랑끼짱우유(연세유업)",
23088,"우유,바나나맛우유(빙그레)",
23094,"요구르트(호상),요플레(딸기)(빙그레)",
23096,"요구르트(호상),요플레(클래식)(빙그레)",
23098,"요구르트(액상),욥닥터캡슐(빙그레)",
23105,"요구르트(액상),메치니코프(사과)(한국야쿠르트)",
23109,"요구르트(호상),슈퍼100(딸기)(한국야쿠르트)",
23110,"요구르트(호상),슈퍼100(복숭아)(한국야쿠르트)",
23114,"요구르트(액상),야쿠르트(한국야쿠르트)",
23137,"우유,후레쉬우유(파스퇴르유업)",
23161,"요구르트(액상),쾌변요구르트(사과)(파스퇴르유업)",
23168,"우유,딸기우유(서울우유)",
23170,"우유,앙팡우유(서울우유)",
23172,"우유,서울우유(서울우유)",
23173,"우유,저지방우유(서울우유)",
23174,"우유,쵸코멸균우유(서울우유)",
23175,"우유,쵸코우유(서울우유)",
23177,"우유,커피우유(서울우유)",
23190,"치즈,체다슬라이스치즈(서울우유)",
24001,"커피프림,프리마(동서식품)",
24007,"버터,서울우유버터(서울우유)",
25024,"간장,양조간장501S(샘표식품)",
25025,"간장,양조간장701(샘표식품)",
25027,"간장,진간장금F3(샘표식품)",
25028,"간장,진간장S(샘표식품)",
25076,"참기름,신동방참기름(해표)",
25084,"콩기름,신동방콩기름(해표)",
26001,"과자,고래밥-매콤(오리온)",
26002,"과자,고래밥-볶음양념(오리온)",
26005,"과자,다이제(오리온)",
26006,"과자,다이제(초코)(오리온)",
26009,"젤리,마이구미(포도)(오리온)",
26012,"과자,미쯔블랙(오리온)",
26016,"과자,베베(오리온)",
26020,"젤리,왕꿈틀이(오리온)",
26025,"과자,초코송이(오리온)",
26027,"과자,초코칩쿠키(오리온)",
26028,"밀,밀가공식품,빵/과자류,초코파이(오리온)",
26029,"과자,촉촉한초코칩(오리온)",
26030,"카라멜,땅콩(오리온)",
26035,"초콜릿,투유-마일드(오리온)",
26039,"카스테라,후레시베리(오리온)",
26040,"초콜릿,가나(롯데제과)",
26042,"과자,꼬깔콘(고소)(롯데제과)",
26043,"아이스밀크,누크바(롯데제과)",
26044,"과자,마가렛트(롯데제과)",
26045,"사탕,목캔디(롯데제과)",
26046,"밀,밀가공식품,빵/과자류,초코파이,몽쉘통통(롯데)",
26048,"과자,빠다코코낫(롯데제과)",
26049,"과자,빼빼로(롯데제과)",
26053,"껌,자일리톨껌(롯데제과)",
26055,"사탕,스카치세가지맛(롯데제과)",
26056,"빙과,스크류바(롯데제과)",
26058,"과자,아몬드빼빼로(롯데제과)",
26059,"초콜릿,아몬드초콜릿(롯데제과)",
26061,"과자,애플쨈(롯데제과)",
26062,"과자,엄마손파이(롯데제과)",
26067,"과자,제크(롯데제과)",
26073,"밀,밀가공식품,빵/과자류,초코파이(롯데)",
26074,"과자,칙촉(롯데제과)",
26075,"카스테라,카스타드(롯데)",
26077,"초콜릿,크런키(롯데제과)",
26080,"과자,하비스트(롯데제과)",
26086,"과자,뻥이요(서울식품공업)",
26114,"과자,땅콩강정(오리온프리토레이)",
26121,"과자,오징어땅콩(오리온프리토레이)",
26122,"과자,치토스-매콤(오리온프리토레이)",
26123,"과자,치토스-바비큐(오리온프리토레이)",
26125,"과자,포카칩-소금맛(오리온프리토레이)",
26126,"과자,포카칩-양파맛(오리온프리토레이)",
26128,"과자,바나나킥(농심)",
26131,"과자,오징어집(농심)",
26132,"과자,올리고고구마깡(농심)",
26133,"과자,칼슘양파링(농심)",
26134,"과자,콘드로이친감자깡(농심)",
26135,"과자,키토산자갈치(농심)",
26137,"과자,꽃게랑(빙그레)",
26140,"과자,야채타임(빙그레)",
26150,"과자,맛동산(해태제과)",
26152,"과자,샤브레(해태제과)",
26157,"과자,에이스(해태제과)",
26158,"밀,밀가공식품,빵/과자류,초코파이,오예스(해태)",
26161,"사탕,자두캔디(해태제과)",
26166,"과자,홈런볼(쵸코)(해태제과)",
27007,"커피음료,프렌치카페카푸치노(남양유업)",
27013,"커피믹스,맥스웰커피믹스(동서식품)",
27014,"커피믹스,맥스웰하우스커피믹스(동서식품)",
27016,"커피,분말,맥심(동서식품)",
27017,"커피믹스,맥심디카페인커피믹스(동서식품)",
27018,"커피믹스,맥심모카골드커피믹스(동서식품)",
27019,"커피믹스,맥심커피믹스(동서식품)",
27055,"두유,고소한베지밀(정식품)",
27062,"두유,베지밀에이(팩)(정식품)",
27063,"두유,베지밀비(팩)(정식품)",
27067,"커피,분말,네스카페클래식(한국네슬레)",
27070,"코코아,네스퀵쵸콜릿맛(한국네슬레)",
27071,"홍차음료,분말,네스티(한국네슬레)",
27073,"커피,분말,테이스터스쵸이스(한국네슬레)",
27075,"커피믹스,테이스터스쵸이스커피믹스(한국네슬레)",
27079,"과일탄산음료,쿨피스(복숭아맛)(해태유업)",
27095,"오렌지,주스,아침에주스오렌지(서울우유)",
28010,"아몬드,칼몬드(우성식품)",
29012,"꿀,아카시아꿀(동서식품)",
29086,"인스턴트국,북어국(오뚜기)",
29089,"스프,가루,인스턴트,야채스프(오뚜기)",
29091,"곰탕/사골국물,옛날사골곰탕(오뚜기)",
29092,"카레분말,카레(오뚜기)",
29093,"스프,가루,인스턴트,옥수수수프(오뚜기)",
29096,"스프,가루,인스턴트,크림스프(오뚜기)",
29098,"하이라이스분말,하이라이스소스(오뚜기)",
29116,"밥,햇반(CJ)",
29146,"만두,참고향만두(해태)",
40031,"감자튀김,후렌치후라이(R)(버거킹)",
40035,"양파튀김,어니언링(R)(버거킹)",
40130,"감자튀김,포테이토(롯데리아)",
40147,"감자튀김,후렌치후라이(R)(McDonald's)",
40150,"닭고기튀김,맥너겟6조각(McDonald's)",
40244,"햄버거/샌드위치,소시지(Subway)",
50006,"과자,고소미(오리온)",
50009,"과자,국희땅콩샌드(크라운제과)",
50010,"만두,군만두(CJ)",
50011,"과자,그레이스(크라운제과)",
50015,"빵,꿀호떡(샤니)",
50025,"과자,닭다리(농심)",
50029,"과자,땅콩크래커(해태제과)",
50061,"과자,라면땅",
50062,"과자,롯데샌드오리지날(롯데제과)",
50064,"과자,롤리폴리(해태제과)",
50075,"밀,밀가공식품,밀가루,백설밀가루(CJ)",
50085,"과자,버터링(해태제과)",
50086,"과자,버터와플(크라운제과)",
50092,"밀,밀가공식품,빵/과자류,초코파이,빅파이(크라운제과)",
50093,"과자,빈츠(롯데제과)",
50096,"과자,뽀또(크라운제과)",
50097,"과자,뿌셔뿌셔(오뚜기)",
50098,"과자,사또밥(삼양식품)",
50110,"빵,소보로빵(파리바게뜨)",
50117,"과자,쌀로별(기린)",
50118,"과자,쌀새우깡(농심)",
50119,"과자,씨리얼(롯데제과)",
50120,"과자,아이비(해태제과)",
50121,"과자,알새우칩(농심)",
50122,"과자,야채크래커V6(롯데제과)",
50125,"과자,예감(농심)",
50127,"국수(마른것),옛날국수(오뚜기)",
50128,"과자,오감자(오리온)",
50130,"밀,밀가공식품,빵/과자류,초코파이,오뜨(오리온)",
50133,"과자,오징어땅콩볼(롯데제과)",
50134,"옥수수통조림,옥수수콘,스위트콘(대상)",
50145,"과자,죠리퐁(크라운제과)",
50148,"과자,짱구(삼양식품)",
50151,"과자,쫄병스낵(농심)",
50153,"밀,밀가공식품,빵/과자류,초코파이,찰떡파이(롯데제과)",
50156,"과자,참깨스틱",
50157,"과자,참크래커(크라운제과)",
50165,"과자,초코하임(크라운제과)",
50167,"과자,치즈샌드(크라운제과)",
50170,"과자,칸쵸(롯데제과)",
50175,"과자,콘칩(크라운제과)",
50191,"과자,포스틱(농심)",
50199,"빵,호두과자",
50201,"과자,후렌치파이,사과(해태제과)",
50210,"감자스낵,칩포테토(농심)",
50211,"감자스낵,프링글스오리지널(P&G)",
50213,"사탕,고려홍삼제리",
50220,"물엿/시럽,백설물엿(CJ)",
50236,"사탕,청포도맛사탕(롯데제과)",
50237,"사탕,츄파춥스",
50243,"설탕,백설탕(큐원)(삼양사)",
50244,"설탕,백설탕(CJ)",
50248,"설탕,황설탕(큐원)(삼양사)",
50251,"설탕,황설탕(CJ)",
50253,"젤리,양갱,연양갱(해태제과)",
50256,"물엿/시럽,백설올리고당(CJ)",
50257,"물엿/시럽,청정원올리고당(대상)",
50261,"초코바,스니커즈(Mars Foods)",
50266,"초콜릿,페레로로쉐(페레로로쉐)",
50267,"초콜릿,ABC초콜릿(롯데제과)",
50268,"카라멜,마이쮸(크라운제과)",
50270,"카라멜,새콤달콤(크라운제과)",
50279,"두유,검은콩두유(삼육식품)",
50282,"두유,삼육두유(삼육식품)",
50299,"김치,배추김치,종가집배추김치(종가집)",
50316,"망고,주스,델몬트망고주스(롯데칠성음료)",
50317,"오렌지,주스,델몬트오렌지주스(롯데칠성음료)",
50318,"오렌지,주스,델몬트콜드오렌지주스(롯데칠성음료)",
50320,"포도,주스,델몬트포도주스(롯데칠성음료)",
50321,"딸기,잼,복음자리딸기잼(복음자리)",
50322,"딸기,잼,오뚜기딸기잼(오뚜기)",
50327,"오렌지,주스,미닛메이드오리지널오렌지100(한국코카콜라보틀링)",
50329,"석류,주스,석류원액",
50344,"과일음료/과즙음료,오렌지에이드",
50354,"귤,과일주스,제주감귤(롯데칠성음료)",
50373,돼지껍데기,
50377,"완자,떡갈비",
50391,"돼지고기가공품,런천미트,스팸(CJ)",
50395,"닭고기가공품(냉동품),용가리치킨(하림)",
50397,"어육소시지,키스틱(롯데햄우유)",
50416,"어패류액젓,멸치액젓(하선정종합식품)",
50434,"어패류액젓,참치액젓(한라)",
50438,"게맛살,크래미(한성기업)",
50453,"김,김가루",
50457,"김,김자반",
50477,"김,양반올리브유로구운김(동원F&B)",
50507,"아이스밀크,거북이(롯데삼강)",
50509,"아이스크림,구구콘(롯데삼강)",
50512,"아이스크림,나뚜루(롯데)",
50513,"아이스크림,누가바(해태제과)",
50514,"빙과,더위사냥(빙그레)",
50515,"샤베트,돼지바(롯데삼강)",
50519,"빙과/샤베트,델몬트망고(롯데삼강)",
50520,"아이스밀크,메가톤바(롯데제과)",
50521,"아이스밀크,메로나(빙그레)",
50523,"빙과,바밤바(해태제과)",
50526,"아이스크림,부라보콘(해태제과)",
50527,"아이스밀크,붕어싸만코(빙그레)",
50533,"샤베트,비비빅(빙그레)",
50534,"샤베트,빠삐코(롯데삼강)",
50535,"아이스밀크,빵또아(빙그레)",
50536,"아이스밀크,빵빠레(롯데삼강)",
50537,"샤베트,뽕따(빙그레)",
50543,"아이스밀크,쌍쌍바(해태제과)",
50545,"아이스크림,엑설런트(빙그레)",
50546,"아이스밀크,엔초(빙그레)",
50548,"아이스밀크,옥동자(롯데제과)",
50549,"아이스밀크,와일드바디(롯데제과)",
50551,"샤베트,요맘때(빙그레)",
50555,"빙과,죠스바(롯데제과)",
50556,"아이스밀크,찰떡아이스(롯데제과)",
50557,"아이스크림,체리마루(해태제과)",
50562,"샤베트,캔디바(빙그레)",
50563,"아이스밀크,쿠앤크(빙그레)",
50564,"빙과,탱크보이(해태제과)",
50565,"아이스크림,투게더(빙그레)",
50566,"빙과,파워캡(빙그레)",
50568,"빙과,폴라포,포도맛(해태제과)",
50569,"아이스크림,호두마루(해태제과)",
50578,"요구르트(액상),앙팡(서울우유)",
50579,"요구르트(액상),야구르트(빙그레)",
50583,"요구르트(액상),엔요(매일유업)",
50585,"요구르트(액상),요구르트(비락)",
50586,"요구르트(액상),요구르트(서울우유)",
50590,"요구르트(액상),윌(한국야쿠르트)",
50593,"요구르트(액상),쾌변요구르트(파스퇴르유업)",
50594,"요구르트(액상),쿠퍼스(한국야쿠르트)",
50598,"요구르트(액상),런(시온식품)",
50602,"요구르트(호상),바이오거트(매일유업)",
50604,"요구르트(호상),비요뜨(서울우유)",
50608,"요구르트(호상),짜요짜요(서울우유)",
50613,"우유,부산우유(부산우유)",
50614,"우유,비락우유(비락)",
50616,"우유,제주우유(제주우유)",
50618,"우유,건국우유(건국우유)",
50625,"우유,검은콩우유(연세유업)",
50629,"우유,고구마우유",
50637,"우유,굿모닝우유(빙그레)",
50647,"우유,맛있는우유GT(남양유업)",
50650,"우유,매일저지방우유ESL(매일유업)",
50675,"우유,축협우유(축협)",
50690,"치즈,뼈로가는칼슘치즈(매일유업)",
50694,"치즈,치즈스틱",
50702,"콩기름,백설식용유(CJ)",
50703,"올리브유,백설압착올리브유(CJ)",
50704,"옥수수기름,백설옥수수유(CJ)",
50705,"참기름,백설진한참기름(CJ)",
50709,"참기름,고소한참기름(오뚜기)",
50711,"콩기름,오뚜기식용유(오뚜기)",
50744,"기능성음료,꿀물(캔)",
50765,"음료류,탄산음료,과일탄산음료,데미소다(동아오츠카)",
50768,뽕잎차,
50771,"사이다,마운틴듀(롯데칠성음료)",
50783,"맥주,버드와이저(OB맥주)",
50784,"맥주,카스맥주(OB맥주)",
50785,"맥주,카프리(OB맥주)",
50787,"맥주,하이트맥주(하이트맥주㈜)",
50790,"탄산음료,맥콜(일화)",
50794,"코코아,미떼핫초코(동서식품)",
50796,"기능성음료,미에로화이바",
50797,"탄산음료,밀키스(롯데칠성음료)",
50799,백세주(국순당),
50803,"홍차음료,복숭아홍차(담터)",
50804,"식혜,비락식혜(비락)",
50805,"기능성음료,비타500",
50807,"기능성음료,비타민음료",
50810,"소주,레몬소주",
50816,"소주,시원소주(대선주조)",
50818,"소주,잎새주(보해양조)",
50819,"소주,참소주(금복주)",
50820,"소주,참이슬(진로)",
50821,"소주,하이트소주(하이트주조)",
50822,"소주,한라산(한라산)",
50824,"과일음료/과즙음료,솔의눈(롯데칠성음료)",
50825,수정과,
50827,"사이다,스프라이트(한국코카콜라보틀링)",
50836,아침햇살(웅진식품),
50843,"탄산음료,암바사(한국코카콜라보틀링)",
50845,"과일탄산음료,오란씨(동아오츠카)",
50848,"과일탄산음료,웰치스(농심)",
50852,"기능성음료,이온음료,2%부족할때(롯데칠성음료)",
50854,"기능성음료,이온음료,게토레이(롯데칠성음료)",
50856,"기능성음료,이온음료,파워에이드(한국코카콜라보틀링)",
50857,"기능성음료,이온음료,포카리스웨트(동아오츠카)",
50858,인삼주,
50861,"코코아,제티(동서식품)",
50864,"사이다,천연사이다(일화)",
50865,"과일음료/과즙음료,초록매실(웅진식품)",
50867,"사이다,칠성사이다(롯데칠성음료)",
50869,"과일음료/과즙음료,카프리썬(농심)",
50871,"커피음료,레쓰비",
50875,"커피음료,마일드카페라테(매일유업)",
50876,"커피,분말,맥심모카골드(동서식품)",
50884,"콜라,코카콜라(한국코카콜라보틀링)",
50885,"과일음료/과즙음료,코코팜(해태음료)",
50889,"과일탄산음료,쿨피스(자두맛)",
50891,"사이다,킨사이다(한국코카콜라보틀링)",
50893,"콜라,펩시콜라(롯데칠성음료)",
50896,"과일음료/과즙음료,피크닉,애플(매일유업)",
50900,"우유,허쉬초콜렛드링크(매일유업)",
